"","x"
"1",310
"2",331
"3",248
"4",696
"5",446
"6",1284
"7",1381
"8",452
"9",379
"10",759
"11",342
"12",945
"13",54
"14",1074
"15",653
"16",1028
"17",837
"18",616
"19",1343
"20",518
"21",1434
"22",180
"23",270
"24",484
"25",1273
"26",1027
"27",1156
"28",76
"29",234
"30",1171
"31",1206
"32",524
"33",359
"34",406
"35",224
"36",1177
"37",231
"38",1217
"39",647
"40",1046
"41",425
"42",171
"43",827
"44",818
"45",641
"46",460
"47",1431
"48",1277
"49",593
"50",923
"51",674
"52",1368
"53",1018
"54",1247
"55",429
"56",683
"57",1238
"58",928
"59",485
"60",197
"61",964
"62",553
"63",865
"64",226
"65",932
"66",427
"67",582
"68",840
"69",1363
"70",185
"71",495
"72",716
"73",1091
"74",121
"75",904
"76",1094
"77",695
"78",114
"79",960
"80",1331
"81",996
"82",412
"83",1079
"84",499
"85",1037
"86",146
"87",1415
"88",748
"89",67
"90",193
"91",417
"92",1319
"93",552
"94",1076
"95",557
"96",951
"97",656
"98",195
"99",1408
"100",477
"101",797
"102",1008
"103",491
"104",999
"105",1147
"106",345
"107",667
"108",344
"109",1169
"110",1084
"111",1394
"112",360
"113",819
"114",57
"115",658
"116",228
"117",301
"118",340
"119",1263
"120",1223
"121",160
"122",948
"123",259
"124",218
"125",1240
"126",1178
"127",275
"128",993
"129",343
"130",1012
"131",1013
"132",1352
"133",169
"134",1057
"135",906
"136",116
"137",178
"138",1390
"139",1160
"140",971
"141",380
"142",1050
"143",1371
"144",1077
"145",834
"146",780
"147",1402
"148",745
"149",843
"150",407
"151",291
"152",903
"153",416
"154",1113
"155",1255
"156",821
"157",1404
"158",1349
"159",1333
"160",1400
"161",1138
"162",1164
"163",435
"164",597
"165",980
"166",682
"167",367
"168",1426
"169",1066
"170",1290
"171",650
"172",1358
"173",1180
"174",1419
"175",1310
"176",631
"177",1151
"178",587
"179",538
"180",420
"181",1035
"182",1353
"183",125
"184",711
"185",1344
"186",801
"187",857
"188",1437
"189",1303
"190",1283
"191",316
"192",250
"193",914
"194",528
"195",42
"196",591
"197",217
"198",590
"199",676
"200",467
"201",877
"202",572
"203",1161
"204",203
"205",677
"206",441
"207",438
"208",1020
"209",700
"210",876
"211",223
"212",1379
"213",772
"214",1416
"215",533
"216",29
"217",1252
"218",299
"219",240
"220",86
"221",1322
"222",1338
"223",1302
"224",475
"225",623
"226",537
"227",1346
"228",689
"229",1021
"230",1244
"231",505
"232",1311
"233",788
"234",1251
"235",815
"236",1034
"237",88
"238",276
"239",347
"240",153
"241",433
"242",887
"243",1159
"244",836
"245",966
"246",1148
"247",127
"248",487
"249",453
"250",472
"251",82
"252",1332
"253",353
"254",522
"255",498
"256",679
"257",402
"258",544
"259",230
"260",1406
"261",298
"262",1306
"263",288
"264",24
"265",71
"266",283
"267",933
"268",1441
"269",128
"270",70
"271",207
"272",1334
"273",1211
"274",189
"275",1298
"276",49
"277",1192
"278",874
"279",140
"280",69
"281",468
"282",387
"283",1407
"284",574
"285",431
"286",154
"287",59
"288",1067
"289",1276
"290",839
"291",892
"292",765
"293",764
"294",451
"295",793
"296",478
"297",465
"298",660
"299",1388
"300",1135
"301",710
"302",1258
"303",673
"304",1373
"305",1168
"306",539
"307",1006
"308",315
"309",950
"310",198
"311",550
"312",702
"313",51
"314",791
"315",328
"316",534
"317",1308
"318",119
"319",469
"320",755
"321",1140
"322",395
"323",720
"324",1213
"325",984
"326",1024
"327",321
"328",1243
"329",575
"330",1049
"331",634
"332",704
"333",241
"334",26
"335",1144
"336",21
"337",375
"338",1141
"339",263
"340",936
"341",1033
"342",879
"343",1114
"344",280
"345",990
"346",918
"347",690
"348",249
"349",1254
"350",517
"351",1230
"352",262
"353",421
"354",975
"355",177
"356",358
"357",665
"358",40
"359",577
"360",1274
"361",6
"362",1205
"363",403
"364",893
"365",558
"366",164
"367",735
"368",332
"369",172
"370",13
"371",684
"372",489
"373",1072
"374",807
"375",1260
"376",336
"377",627
"378",150
"379",162
"380",1031
"381",5
"382",686
"383",882
"384",1101
"385",297
"386",1297
"387",1139
"388",1370
"389",1054
"390",734
"391",1183
"392",1019
"393",152
"394",445
"395",556
"396",628
"397",886
"398",917
"399",426
"400",131
"401",209
"402",334
"403",531
"404",924
"405",1366
"406",1355
"407",258
"408",872
"409",937
"410",965
"411",289
"412",1262
"413",670
"414",30
"415",36
"416",295
"417",1105
"418",563
"419",895
"420",998
"421",318
"422",585
"423",863
"424",816
"425",303
"426",346
"427",75
"428",1051
"429",957
"430",798
"431",1278
"432",602
"433",654
"434",1295
"435",1291
"436",134
"437",1167
